"time_stamp","angular_speed_x","angular_speed_y","angular_speed_z","acceleration_x","acceleration_y","acceleration_z","altitude","latitude","longitude","temperature","quaternion_w","quaternion_x","quaternion_y","quaternion_z","acquisition_board_state_1","acquisition_board_state_2","acquisition_board_state_3","power_supply_state_1","power_supply_state_2","payload_board_state_1","voltage","current"
0,0.0,0.0,2.0,0.0,0.0,-9.800000190734863,0.0,32.99052429199219,-106.97525024414062,50.0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0,0.0,2.0,0.0,0.0,-9.800000190734863,0.0,32.99052429199219,-106.97525024414062,49.9605712890625,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0,0.0,2.0,0.0,0.0,-9.800000190734863,0.0,32.99052429199219,-106.97525024414062,49.84291458129883,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0,0.0,2.0,0.0,0.0,-9.800000190734863,0.0,32.99052429199219,-106.97525024414062,49.64888381958008,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0,0.0,2.0,0.0,0.0,-9.800000190734863,0.0,32.99052429199219,-106.97525024414062,49.381534576416016,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0,0.0,2.0,0.0,0.0,-9.800000190734863,0.0,32.99052429199219,-106.97525024414062,49.04508590698242,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0,0.0,2.0,0.0,0.0,-9.800000190734863,0.0,32.99052429199219,-106.97525024414062,48.64484405517578,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0,0.0,2.0,0.0,0.0,-9.800000190734863,0.0,32.99052429199219,-106.97525024414062,48.18711853027344,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0,0.0,2.0,0.0,0.0,-9.800000190734863,0.0,32.99052429199219,-106.97525024414062,47.679134368896484,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0,0.0,2.0,0.0,0.0,-9.800000190734863,0.0,32.99052429199219,-106.97525024414062,47.1288948059082,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,0.0,32.99052429199219,-106.97525024414062,46.54508590698242,0,0,0,0,0,0,0,0,0,0,0,0
11,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,30.12299919128418,32.990543365478516,-106.97522735595703,45.93690490722656,0,0,0,0,0,0,0,0,0,0,0,0
12,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,120.49199676513672,32.990562438964844,-106.97520446777344,45.3139533996582,0,0,0,0,0,0,0,0,0,0,0,0
